,"Number","Part","Example","Notes"
"Required Parts",,,,
,1,"128GB Micro-SD Card","https://www.amazon.com/dp/B09X7BK27V?ref=ppx_yo2ov_dt_b_fed_asin_title","You can go bigger if you want to store more video on the Pi."
,1,"Raspberry Pi Zero 2W","https://www.amazon.com/dp/B09LH5SBPS?ref=ppx_yo2ov_dt_b_fed_asin_title","You can also get the pre-soldered version if you prefer not to add the header pins yourself"
,1,"(Option 1) Arducam for Raspberry Pi Camera Model 3 NoIR","https://www.amazon.com/dp/B0FNCVM946?ref=ppx_yo2ov_dt_b_fed_asin_title","Get one of the two options (see README.md for discussion)"
,1,"(Option 2) Waveshare IMX462 IR-Cut Camera","https://www.pishop.us/product/imx462-2mp-ir-cut-camera-90-dfov-starlight-camera-sensor-fixed-focus-for-raspberry-pi/","Get one of the two options (see README.md for discussion)"
,1,"Pinfox Waterproof Plastic Project Box (158mm x 90mm x 60mm)","https://www.amazon.com/dp/B07TS6RY85?ref=ppx_yo2ov_dt_b_fed_asin_title","If using wired power or a battery, you can get away with a smaller box."
,1,"AM312 PIR Motion Sensor","https://www.amazon.com/dp/B0CCF52DVJ?ref=ppx_yo2ov_dt_b_fed_asin_title",
,2,"850nm through-hole LEDs","https://www.amazon.com/dp/B01BVGIZIU?ref=ppx_yo2ov_dt_b_fed_asin_title",
,1,"red through-hole LED","https://www.amazon.com/OWOFYDR-diffused-Electronic-Component-Indicator/dp/B09B9BYS8V?crid=16S9P0N9NDAZW&dib=eyJ2IjoiMSJ9.qaxGniTC0_QAN52lIOtxvEX5FB6xPFPUWt75Ge7PFeRmy3xhFBQmKJjIzQwyd4FvGWfnkgm_t3rXr9Zg3dwUYmkL2w0IJ8t_NckhLreaWPpaevS_y7XF5zu8vakdd9tjmgS9UXtE-PdCAbenNGRkwvw1E6gofb_n6mS9Dl9NUgFlBi6iRIpL_f0VJ5wAO8qLLj60KabVPym1zJ2x3Vf3XCMoi-kQ_RrGm9SP2DWQo1Y.iChU24KcRqg_GcVBuxLnLIbOQYKZ8wT15zTUAU390ds&dib_tag=se&keywords=red+through+hole+led&qid=1776608468&sprefix=red+through+hole+le%2Caps%2C251&sr=8-3","For testing"
,1,"MOSFET board","https://www.amazon.com/dp/B0F6K4LX6Y?ref=ppx_yo2ov_dt_b_fed_asin_title","For controlling the IR LEDs"
